Score	Node	Degree	Component
1	NPM1	 13	 1
2	DBNL	 8	 1
3	CTNND1	 15	 1
4	PXN	 13	 1
5	WASL	 11	 1
6	PRKAA2	 4	 1
7	NCK1	 16	 1
8	PIK3R1	 24	 1
9	PRKCD	 13	 1
10	HSP90AB1	 16	 1
11	PPP1CA	 17	 1
12	PPP1CB	 9	 1
13	CASK	 15	 1
14	YES1	 20	 1
15	MPP5	 14	 1
16	ROCK2	 7	 2
17	GSK3A	 7	 2
18	MARK2	 4	 1
19	CDK2	 14	 1
20	AURKB	 12	 1
21	VIM	 6	 1
22	EIF4B	 6	 1
23	TRIM28	 8	 1
24	TOP2B	 5	 1
25	CDK3	 9	 1
26	CAMKK2	 4	 1
27	ABI1	 12	 1
28	AURKA	 10	 1
29	CLNS1A	 4	 1
30	FER	 6	 1
31	DSP	 6	 1
32	KRT18	 5	 1
33	SRSF3	 11	 1
34	SRSF7	 13	 1
35	SF3B1	 15	 1
36	SNRNP70	 12	 1
37	HNRNPM	 18	 1
38	HNRNPA0	 14	 1
39	ANXA1	 4	 1
40	SRSF11	 12	 1
41	SRRM1	 11	 1
42	NCL	 10	 1
43	DDX5	 7	 1
44	CRKL	 11	 1
45	BCAR1	 9	 1
46	CAP1	 6	 1
47	CDK5	 8	 1
48	NOC2L	 9	 1
49	H2AFX	 8	 1
50	LPP	 5	 1
51	PRPF4B	 2	 1
52	EMD	 2	 1
53	MYBBP1A	 8	 1
54	NOP58	 6	 1
55	PTPN6	 6	 1
56	MERTK	 5	 1
57	EPHA7	 7	 1
58	IRS2	 6	 1
59	CTTN	 7	 1
60	MAPK14	 6	 1
61	TIMELESS	 2	 1
62	CCT2	 6	 1
63	FIP1L1	 4	 1
64	DDX3X	 5	 1
65	CDV3	 2	 1
66	PCBP1	 10	 1
67	NUMA1	 4	 1
68	ARHGEF2	 5	 1
69	FKBP4	 4	 1
70	PRPF38A	 2	 1
71	EPB41	 4	 1
72	PKN2	 2	 1
73	VASP	 5	 1
74	PPHLN1	 1	 1
75	PAPSS2	 1	 1
76	SRRM2	 5	 1
77	KIAA1191	 1	 1
78	DYRK4	 1	 1
79	ACIN1	 1	 1
80	ANXA2	 1	 1
81	F11R	 4	 1
82	INADL	 2	 1
83	AHNAK	 1	 1
84	ERBB2IP	 2	 1
85	SHB	 2	 1
86	MLF2	 2	 1
87	ABI2	 3	 1
88	EPB41L2	 3	 1
89	MAP1B	 1	 1
90	DCTN2	 3	 1
91	TRA2B	 4	 1
92	CHAF1A	 5	 1
93	RPS21	 5	 1
94	RPL15	 6	 1
95	ARHGAP12	 2	 1
96	ARAP2	 2	 1
97	TENC1	 2	 1
98	PLEKHA7	 2	 1
99	CAMK2D	 4	 1
100	LMNA	 7	 1
101	CCDC6	 2	 1
102	PRPF38B	 1	 1
103	BAIAP2L1	 2	 1
104	PFN1	 5	 1
105	LIMA1	 1	 1
106	MICAL1	 1	 1
107	TAOK1	 2	 1
108	TEC	 4	 1
109	MAPK7	 1	 1
110	PPP1R12A	 4	 1
111	KIRREL	 2	 1
112	MAPK12	 4	 1
113	NCAPH	 3	 1
114	MARK3	 1	 1
115	AAK1	 1	 1
116	PPP6R3	 2	 1
117	TRIP12	 1	 1
118	TBK1	 2	 1
119	TGM2	 2	 1
120	EPHA5	 6	 1
121	MYO1E	 1	 1
122	SGTA	 2	 1
123	ADAM17	 1	 1
124	MID1	 3	 1
125	DCBLD2	 1	 1
126	ACLY	 2	 1
127	TP53BP1	 6	 1
128	BCLAF1	 2	 1
129	YAP1	 6	 1
130	PKP3	 2	 1
131	PTRF	 1	 1
132	HIVEP2	 1	 1
133	ELMSAN1	 1	 1
134	PAPSS1	 1	 1
135	TAGLN2	 2	 1
136	SEC16A	 1	 1
137	BRSK2	 3	 1
138	HNRNPH3	 2	 1
139	CNN3	 1	 1
140	LUC7L3	 3	 1
141	BAG2	 2	 1
142	MAP3K11	 5	 1
143	ADAM9	 1	 1
144	LARP7	 6	 1
145	MCM4	 6	 1
146	TPD52L2	 1	 1
147	CPSF7	 9	 1
148	TRA2A	 2	 1
149	KHDRBS1	 5	 1
150	PRKAA1	 3	 1
151	FAF2	 2	 1
152	PIK3AP1	 2	 1
153	GTF2I	 1	 1
154	PDPK1	 6	 1
155	ZC3H8	 1	 1
156	EPHA2	 10	 1
157	TYK2	 6	 1
158	TPX2	 4	 1
159	KRT8	 5	 1
160	SPTAN1	 5	 1
161	SON	 7	 1
162	RPS28	 4	 1
163	ABL2	 8	 1
164	RBM14	 7	 1
165	JUP	 4	 1
166	HMGA1	 1	 1
167	PKP4	 2	 1
168	PI4K2A	 1	 1
